n,p,games,p1_win_rate,avg_game_length,elapsed_seconds
10,0.1,100,0.54,6.34,0.26
10,0.2,100,0.32,4.7,0.16
10,0.3,100,0.5,3.82,0.09
10,0.4,100,0.74,3.32,0.07
10,0.5,100,0.89,3.01,0.07
15,0.1,100,0.46,7.82,0.68
15,0.2,100,0.48,5.5,0.4
15,0.3,100,0.37,4.43,0.25
15,0.4,100,0.31,3.89,0.16
15,0.5,100,0.73,3.35,0.12
20,0.1,100,0.47,9.37,1.34
20,0.2,100,0.53,6.17,0.72
20,0.3,100,0.43,4.77,0.48
20,0.4,100,0.13,4.03,0.29
20,0.5,100,0.51,3.57,0.22
