n,p,seed,ai_depth,num_moves,winner,nodes_explored,elapsed_seconds
11,0.5,31,3,4,2,68,0.001044
11,0.5,32,3,3,1,42,0.000772
11,0.5,33,3,3,1,38,0.000708
11,0.5,34,3,1,1,28,0.000376
11,0.5,35,3,4,2,76,0.001161
11,0.5,36,3,4,2,65,0.001024
11,0.5,37,3,4,2,84,0.00121
11,0.5,38,3,1,1,31,0.000348
11,0.5,39,3,3,1,40,0.00062
11,0.5,40,3,3,1,49,0.000653
11,0.5,41,3,3,1,56,0.000718
11,0.5,42,3,3,1,46,0.000634
11,0.5,43,3,3,1,44,0.000635
11,0.5,44,3,3,1,53,0.000709
11,0.5,45,3,3,1,43,0.000729
11,0.5,46,3,3,1,54,0.000753
11,0.5,47,3,3,1,42,0.000666
11,0.5,48,3,4,2,50,0.000869
11,0.5,49,3,3,1,49,0.000668
11,0.5,50,3,3,1,65,0.000851
11,0.5,51,3,3,1,46,0.000658
11,0.5,52,3,4,2,58,0.000963
11,0.5,53,3,3,1,62,0.000924
11,0.5,54,3,3,1,44,0.000686
11,0.5,55,3,3,1,38,0.000636
11,0.5,56,3,3,1,40,0.000663
11,0.5,57,3,3,1,54,0.000843
11,0.5,58,3,4,2,63,0.001332
11,0.5,59,3,4,2,75,0.00138
11,0.5,60,3,3,1,41,0.000896
11,0.5,61,3,4,2,55,0.00098
11,0.5,62,3,3,1,48,0.014807
11,0.5,63,3,3,1,51,0.000753
11,0.5,64,3,3,1,46,0.000608
11,0.5,65,3,3,1,43,0.000589
11,0.5,66,3,3,1,38,0.000556
11,0.5,67,3,4,2,69,0.00091
11,0.5,68,3,3,1,48,0.000609
11,0.5,69,3,3,1,46,0.000731
11,0.5,70,3,3,1,40,0.000671
11,0.5,71,3,4,2,59,0.000953
11,0.5,72,3,3,1,40,0.000584
11,0.5,73,3,3,1,43,0.000614
11,0.5,74,3,4,2,75,0.001033
11,0.5,75,3,3,1,34,0.00062
11,0.5,76,3,3,1,41,0.000706
11,0.5,77,3,3,1,45,0.000735
11,0.5,78,3,3,1,40,0.000604
11,0.5,79,3,3,1,37,0.000584
11,0.5,80,3,3,1,38,0.000801
11,0.5,81,3,3,1,50,0.00076
11,0.5,82,3,3,1,41,0.000582
11,0.5,83,3,3,1,46,0.000599
11,0.5,84,3,3,1,42,0.000636
11,0.5,85,3,3,1,46,0.000651
11,0.5,86,3,3,1,40,0.000593
11,0.5,87,3,3,1,48,0.000705
11,0.5,88,3,3,1,39,0.000621
11,0.5,89,3,4,2,75,0.001113
11,0.5,90,3,3,1,48,0.000687
11,0.5,91,3,3,1,51,0.000742
11,0.5,92,3,4,2,88,0.001332
11,0.5,93,3,4,2,72,0.001245
11,0.5,94,3,3,1,42,0.000724
11,0.5,95,3,3,1,55,0.000824
11,0.5,96,3,3,1,46,0.000787
11,0.5,97,3,3,1,52,0.000881
11,0.5,98,3,3,1,40,0.000697
11,0.5,99,3,3,1,43,0.000731
12,0.5,0,3,3,1,51,0.000818
12,0.5,1,3,3,1,70,0.001028
12,0.5,2,3,3,1,52,0.000864
12,0.5,3,3,4,2,84,0.001494
12,0.5,4,3,3,1,50,0.000856
12,0.5,5,3,3,1,58,0.000956
12,0.5,6,3,3,1,52,0.000854
12,0.5,7,3,3,1,45,0.000788
12,0.5,8,3,3,1,45,0.0008
12,0.5,9,3,3,1,53,0.000966
12,0.5,10,3,3,1,41,0.000794
12,0.5,11,3,4,2,92,0.001528
12,0.5,12,3,3,1,54,0.00089
12,0.5,13,3,3,1,42,0.000734
12,0.5,14,3,3,1,46,0.00095
12,0.5,15,3,3,1,45,0.000794
12,0.5,16,3,3,1,40,0.000742
12,0.5,17,3,3,1,46,0.000776
12,0.5,18,3,3,1,43,0.000696
12,0.5,19,3,3,1,43,0.000763
12,0.5,20,3,3,1,49,0.00075
12,0.5,21,3,3,1,51,0.00081
12,0.5,22,3,4,2,108,0.001585
12,0.5,23,3,3,1,44,0.00073
12,0.5,24,3,4,2,130,0.001673
12,0.5,25,3,3,1,38,0.000731
12,0.5,26,3,3,1,47,0.000867
12,0.5,27,3,3,1,41,0.000807
12,0.5,28,3,3,1,44,0.000706
12,0.5,29,3,4,2,68,0.001139
12,0.5,30,3,3,1,48,0.000733
12,0.5,31,3,3,1,86,0.001199
12,0.5,32,3,3,1,46,0.0008
12,0.5,33,3,4,2,57,0.001145
12,0.5,34,3,3,1,43,0.000753
12,0.5,35,3,3,1,47,0.000689
12,0.5,36,3,3,1,58,0.000822
12,0.5,37,3,3,1,53,0.000837
12,0.5,38,3,3,1,45,0.000876
12,0.5,39,3,3,1,69,0.001053
12,0.5,40,3,3,1,47,0.000756
12,0.5,41,3,3,1,65,0.001122
12,0.5,42,3,3,1,49,0.000719
12,0.5,43,3,4,2,80,0.001331
12,0.5,44,3,3,1,58,0.00077
12,0.5,45,3,4,2,74,0.001131
12,0.5,46,3,4,2,93,0.001243
12,0.5,47,3,4,2,67,0.00111
12,0.5,48,3,3,1,51,0.001047
12,0.5,49,3,3,1,46,0.000804
